relax,0.5119,0.4147,144
concentrate,0.5119,0.4147,219
energize,0.368,0.3686,203
reading,0.4448,0.4066,240
helder,0.459,0.408,254
gedimd,0.459,0.408,77
nachtlampje,0.56,0.403,1
lezen,0.447,0.406,254
ontspannen,0.502,0.414,144
concentreren,0.37,0.372,254
energie,0.314,0.331,254
